attack,model,TPR,FPR,Precision,F1,AUC,EER,n_benign_test,n_attack,benignLimit_used
DDoS-UDP_Flood,Kitsune,0.979300,0.323333,0.834654,0.901210,0.965073,0.123863,30000,50000,150000
DDoS-UDP_Flood,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.928822,0.129363,30000,50000,150000
DDoS-UDP_Flood,"Tenko (eta recal benign, FPR@1%)",0.613280,0.009967,0.990343,0.757482,0.928822,0.129363,30000,50000,150000
DDoS-UDP_Flood,"Tenko (eta recal benign, FPR@5%)",0.783180,0.049967,0.963131,0.863884,0.928822,0.129363,30000,50000,150000
DoS-SYN_Flood,Kitsune,0.996340,0.323333,0.837021,0.909758,0.992747,0.036643,30000,50000,150000
DoS-SYN_Flood,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.987792,0.051803,30000,50000,150000
DoS-SYN_Flood,"Tenko (eta recal benign, FPR@1%)",0.941620,0.009967,0.993689,0.966954,0.987792,0.051803,30000,50000,150000
DoS-SYN_Flood,"Tenko (eta recal benign, FPR@5%)",0.962660,0.049967,0.969798,0.966216,0.987792,0.051803,30000,50000,150000
Recon-OSScan,Kitsune,0.896220,0.323333,0.822054,0.857537,0.827176,0.216383,30000,50000,150000
Recon-OSScan,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.795871,0.255887,30000,50000,150000
Recon-OSScan,"Tenko (eta recal benign, FPR@1%)",0.040760,0.009967,0.872058,0.077880,0.795871,0.255887,30000,50000,150000
Recon-OSScan,"Tenko (eta recal benign, FPR@5%)",0.114620,0.049967,0.792669,0.200280,0.795871,0.255887,30000,50000,150000
MITM-ArpSpoofing,Kitsune,0.962680,0.323333,0.832279,0.892743,0.942003,0.147373,30000,50000,150000
MITM-ArpSpoofing,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.949187,0.130690,30000,50000,150000
MITM-ArpSpoofing,"Tenko (eta recal benign, FPR@1%)",0.523620,0.009967,0.988708,0.684650,0.949187,0.130690,30000,50000,150000
MITM-ArpSpoofing,"Tenko (eta recal benign, FPR@5%)",0.824020,0.049967,0.964895,0.888910,0.949187,0.130690,30000,50000,150000
Mirai-greeth_flood,Kitsune,0.976160,0.323333,0.834211,0.899620,0.929418,0.153343,30000,50000,150000
Mirai-greeth_flood,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.936728,0.139573,30000,50000,150000
Mirai-greeth_flood,"Tenko (eta recal benign, FPR@1%)",0.407860,0.009967,0.985550,0.576954,0.936728,0.139573,30000,50000,150000
Mirai-greeth_flood,"Tenko (eta recal benign, FPR@5%)",0.711620,0.049967,0.959574,0.817203,0.936728,0.139573,30000,50000,150000
DictionaryBruteForce,Kitsune,0.689300,0.323333,0.780369,0.732013,0.703386,0.318927,30000,50000,150000
DictionaryBruteForce,"Tenko (committed eta=50/20, degenerate)",0.000000,0.000000,nan,0.000000,0.696816,0.284700,30000,50000,150000
DictionaryBruteForce,"Tenko (eta recal benign, FPR@1%)",0.020900,0.009967,0.777530,0.040706,0.696816,0.284700,30000,50000,150000
DictionaryBruteForce,"Tenko (eta recal benign, FPR@5%)",0.030540,0.049967,0.504627,0.057594,0.696816,0.284700,30000,50000,150000
